customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,"has_churned
",has_phone,has_internet,has_phone_and_internet,partner_dependents,start_date,avg_monthly_charge,contract_type,phone_type,internet_type
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.044207317,TRUE,FALSE,TRUE,TRUE,TRUE,3,2020-10-23,$65.60,1 Year,One Line,DSL
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.05509182,FALSE,FALSE,TRUE,TRUE,TRUE,0,2020-10-23,$59.90,Month-to-Month,Two or More Lines,DSL
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,3.800405954,FALSE,TRUE,TRUE,TRUE,TRUE,0,2021-04-01,$73.90,Month-to-Month,One Line,Fiber Optic
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,12.63112245,FALSE,TRUE,TRUE,TRUE,TRUE,1,2020-07-06,$98.00,Month-to-Month,One Line,Fiber Optic
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.187127533,TRUE,TRUE,TRUE,TRUE,TRUE,1,2021-04-20,$83.90,Month-to-Month,One Line,Fiber Optic
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.234149856,TRUE,FALSE,TRUE,TRUE,TRUE,2,2020-11-17,$69.40,Month-to-Month,One Line,DSL
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.05332726,TRUE,FALSE,TRUE,TRUE,TRUE,1,2015-07-26,$109.70,2 Year,One Line,Fiber Optic
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,63.52982871,FALSE,FALSE,TRUE,TRUE,TRUE,1,2016-04-10,$84.65,2 Year,Two or More Lines,Fiber Optic
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.06120332,TRUE,FALSE,TRUE,TRUE,TRUE,0,2020-12-23,$48.20,Month-to-Month,One Line,DSL
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,65.86954118,TRUE,FALSE,TRUE,TRUE,TRUE,3,2016-01-30,$90.45,2 Year,Two or More Lines,DSL
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.4369469,FALSE,FALSE,FALSE,TRUE,FALSE,0,2017-01-12,$45.20,2 Year,No Phone Service,DSL
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.40368151,TRUE,FALSE,TRUE,TRUE,TRUE,3,2015-07-15,$116.80,2 Year,Two or More Lines,Fiber Optic
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.097897027,TRUE,FALSE,TRUE,TRUE,TRUE,1,2021-02-20,$68.95,Month-to-Month,One Line,Fiber Optic
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,71.68065153,TRUE,FALSE,TRUE,TRUE,TRUE,0,2015-08-06,$101.30,2 Year,Two or More Lines,Fiber Optic
